ano,territorio,num_empresas,populacao,razao_pop_empresa
2007,Norte,2209,5591294,2531.1425984608422
2007,Nordeste,7753,21887716,2823.1285953824326
2007,Sudeste,26030,41134420,1580.2696888205917
2007,Sul,12215,14342872,1174.2015554645927
2007,Centro-Oeste,3384,6318814,1867.2618203309692
2008,Norte,2272,5800864,2553.1971830985917
2008,Nordeste,8308,22439020,2700.893115069812
2008,Sudeste,27738,41960794,1512.7548489436874
2008,Sul,14542,14616330,1005.1114014578462
2008,Centro-Oeste,4018,6531076,1625.4544549527127
2009,Norte,2574,6012956,2336.0357420357423
2009,Nordeste,8966,22993456,2564.5166183359356
2009,Sudeste,31842,42748892,1342.5316248979336
2009,Sul,15440,14869608,963.0575129533679
2009,Centro-Oeste,4802,6742144,1404.0283215326947
2010,Norte,3129,6225178,1989.5103867050175
2010,Nordeste,10582,23547758,2225.2653562653563
2010,Sudeste,37906,43492108,1147.3673824724317
2010,Sul,19693,15101558,766.8490326511959
2010,Centro-Oeste,6199,6949556,1121.0769478948218
2011,Norte,3489,6437310,1845.0300945829752
2011,Nordeste,13032,24096334,1849.0127378759976
2011,Sudeste,45831,44190184,964.1985555628287
2011,Sul,23339,15312652,656.0971764000171
2011,Centro-Oeste,7684,7153440,930.9526288391463
2012,Norte,3753,6653258,1772.7839062083667
2012,Nordeste,14801,24648978,1665.3589622322816
2012,Sudeste,49284,44864190,910.3195763330898
2012,Sul,28336,15510730,547.3860107284021
2012,Centro-Oeste,8360,7358534,880.2074162679426
2013,Norte,4503,6875174,1526.7985787252942
2013,Nordeste,17330,25215896,1455.0430467397578
2013,Sudeste,52687,45527188,864.1066676789341
2013,Sul,32065,15702108,489.69617963511615
2013,Centro-Oeste,10135,7566058,746.5276763690183
2014,Norte,4488,7104092,1582.9081996434938
2014,Nordeste,17815,25806068,1448.5584058377772
2014,Sudeste,61335,46195870,753.1730659492948
2014,Sul,33853,15895494,469.54461938380643
2014,Centro-Oeste,10442,7778030,744.8793334610228
2015,Norte,4467,7339984,1643.1573763152003
2015,Nordeste,17668,26425298,1495.6587050033959
2015,Sudeste,63355,46879002,739.9416304948307
2015,Sul,34687,16096596,464.05269985873673
2015,Centro-Oeste,11141,7995416,717.656942823804
2016,Norte,3837,7582754,1976.2194422726088
2016,Nordeste,17484,27074400,1548.5243651338367
2016,Sudeste,61591,47582768,772.5604065529054
2016,Sul,33928,16308158,480.6695944352747
2016,Centro-Oeste,10103,8218806,813.501534197763
2017,Norte,3735,7831892,2096.8921017402945
2017,Nordeste,16780,27743520,1653.368295589988
2017,Sudeste,63913,48301158,755.7329181856586
2017,Sul,32038,16527466,515.8707160247207
2017,Centro-Oeste,9817,8446442,860.389324640929
2018,Norte,3827,8086706,2113.0666318264957
2018,Nordeste,16783,28416992,1693.2009771792887
2018,Sudeste,61266,49017200,800.0718179740802
2018,Sul,32950,16749952,508.3445220030349
2018,Centro-Oeste,9788,8674768,886.2656313853698
2019,Norte,3297,8346270,2531.4740673339397
2019,Nordeste,16077,29083868,1809.035765379113
2019,Sudeste,62272,49718706,798.4119026207605
2019,Sul,34245,16970412,495.5588261060009
2019,Centro-Oeste,9175,8900740,970.1079019073569
2020,Norte,3316,8596692,2592.488540410133
2020,Nordeste,16288,29718750,1824.5794449901769
2020,Sudeste,64975,50370550,775.2297037322047
2020,Sul,36698,17177286,468.07144803531526
2020,Centro-Oeste,10713,9116328,850.9593951274153
